Run	Ship 1 #	Ship 1 vel [m/s]	Ship 1 capacity	Ship 1 score [m/s]	Ship 2 #	Ship 2 vel [m/s]	Ship 2 capacity	Ship 2 score [m/s]	Ship 3 #	Ship 3 vel [m/s]	Ship 3 capacity	Ship 3 score [m/s]	Saved	Remaining	Time [h]	Saves up to critical	People Dead 
1	8	12.86	17	218.62	9	3.0864	6	18.5184	8	18.004	56	1008.224	194	0	32.79	95	80
2	2	12.86	17	218.62	9	3.0864	6	18.5184	6	18.004	56	1008.224	194	0	32.8	48	80
3	5	12.86	17	218.62	7	3.0864	6	18.5184	1	18.004	56	1008.224	184	10	31.17	72	80
4	4	12.86	17	218.62	5	3.0864	6	18.5184	5	18.004	56	1008.224	194	0	32.81	72	80
5	2	12.86	17	218.62	2	3.0864	6	18.5184	8	18.004	56	1008.224	194	0	32.85	60	80
6	6	12.86	17	218.62	5	3.0864	6	18.5184	9	18.004	56	1008.224	194	0	32.84	83	80
7	5	12.86	17	218.62	9	3.0864	6	18.5184	9	18.004	56	1008.224	194	0	33.18	72	80
8	1	12.86	17	218.62	2	3.0864	6	18.5184	6	18.004	56	1008.224	194	0	32.79	48	80
9	6	12.86	17	218.62	5	3.0864	6	18.5184	3	18.004	56	1008.224	194	0	32.81	83	80
